Model,Accuracy,Balanced Accuracy,Precision,Recall,F1,MCC,Cohen Kappa,ROC-AUC,PR-AUC,Log Loss,Brier Score,CV ROC-AUC,CV Std,Best Params,Resampling Method
XGBoost,0.9356,0.8539,0.9172,0.7228,0.8085,0.7783,0.7704,0.9454,0.8616,0.2066,0.054,0.9923,0.003,"{'subsample': 0.8, 'scale_pos_weight': 1, 'n_estimators': 300, 'max_depth': 7, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.9}",BorderlineSMOTE
Gradient Boosting,0.9223,0.8206,0.903,0.6576,0.761,0.7288,0.716,0.9259,0.8236,0.235,0.0648,0.9897,0.0035,"{'subsample': 1.0, 'n_estimators': 100, 'min_samples_split': 5, 'max_depth': 6, 'learning_rate': 0.15}",BorderlineSMOTE
Random Forest,0.8793,0.7357,0.775,0.5054,0.6118,0.5616,0.5441,0.9068,0.7404,0.3295,0.0955,0.9875,0.0043,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None, 'class_weight': None}",BorderlineSMOTE
Decision Tree,0.8088,0.7069,0.4926,0.5435,0.5168,0.3987,0.398,0.8251,0.5651,1.6674,0.1336,0.9361,0.0034,"{'min_samples_split': 2, 'min_samples_leaf': 8, 'max_depth': None, 'criterion': 'gini', 'class_weight': None}",BorderlineSMOTE
Logistic Regression,0.6902,0.6923,0.3413,0.6957,0.458,0.3091,0.2749,0.7436,0.4837,0.5862,0.2008,0.781,0.0112,"{'solver': 'saga', 'penalty': 'l2', 'l1_ratio': 0.0, 'class_weight': 'balanced', 'C': 5}",BorderlineSMOTE
AdaBoost,0.7914,0.6294,0.4359,0.3696,0.4,0.2762,0.2748,0.7575,0.4381,0.6599,0.2334,0.9464,0.0057,"{'n_estimators': 200, 'learning_rate': 1.5}",BorderlineSMOTE
